Text 1	Text 2	Text 3	Sound 3	Picture 3	Text 4	Sound 4	Category 1	Text 6	Text 5	Extra Info
慢|màn|0	<size 1.7><center>慢</center></size>	<font size=5>màn|lent</font>|<font size=4><i>« &#77;&#97;&#109;&#97;&#110; &#109;&#111;&#110;&#116;&#101; &#224; &#99;&#104;&#101;&#118;&#97;&#108;, &#108;&#101; &#99;&#104;&#101;&#118;&#97;&#108; &#101;&#115;&#116; &#108;&#101;&#110;&#116;, &#109;&#97;&#109;&#97;&#110; &#105;&#110;&#115;&#117;&#108;&#116;&#101; &#108;&#101; &#99;&#104;&#101;&#118;&#97;&#108;. »</i></font>	a8a3ebe26bfa9e836d64ea47ae2bd844.m4a		|<font size=9>&#22920;&#22920;&#39569;&#39532;，&#39532;<color yellow>&#24930;</color>，&#22920;&#22920;&#39554;&#39532;。</font>	4ed9d2e34f86e0b3d223a937d0c8a546.m4a	1		慢	<font size=12>慢</font> (màn)|
我|wǒ|0	<size 1.7><center>我</center></size>	<font size=5>wǒ|je, moi</font>|<font size=4><i>« &#66;&#111;&#110;&#106;&#111;&#117;&#114; &#224; &#116;&#111;&#117;&#115;, &#106;&#101; &#109;'&#97;&#112;&#112;&#101;&#108;&#108;&#101; &#90;&#104;&#257;&#110;&#103; &#77;&#283;&#105;&#104;&#117;&#236;. »</i></font>	21082882c82638d29ea11052d4b709fa.m4a		|<font size=9>&#22823;&#23478;&#22909;，<color yellow>&#25105;</color>&#21483;&#24352;&#32654;&#24935;。</font>	5cbc41941040238fcd7e1f49afb9b067.m4a	1		我	<font size=12>我</font> (wǒ)|Mots associés :|我们 [wǒmen] nous
我们|wǒmen|0	<size 1.7><center>我们</center></size>	<center><font size=6>wǒmen|nous</font></center>	9af2c75f1c597d71642bb8dcf6dfb968.m4a				0		我们	<font size=12>我们</font> (wǒmen)||Mots associés :|我　 [wǒ] je, moi|你们 [nǐmen] vous [pluriel]|们　 [men] [suffixé à certains m…
拼音|pīnyīn|0	<size 1.7><center>拼音</center></size>	<center><font size=6>pīnyīn|système de translittération des caractères chinois en usage en République populaire de Chine</font></center>	2bfc32c8acad96b6c5bd35f7ac39b2e3.m4a				0		拼音	<font size=12>拼音</font> (pīnyīn)||
数字|shùzì|0	<size 1.7><center>数字</center></size>	<center><font size=6>shùzì|nombre</font></center>	23f0897cb58a30daf00f78ffde57aaa3.m4a				0		数字	<font size=12>数字</font> (shùzì)||
日|rì|0	<size 1.7><center>日</center></size>	<font size=5>rì|soleil, jour, (clé 72)</font>|<font size=4><i>« 8 &#111;&#99;&#116;&#111;&#98;&#114;&#101;. »</i></font>	54b879399b3348ff06c1ed4f87a93b5e.m4a		|<font size=9>&#21313;&#26376;&#20843;<color yellow>&#26085;</color></font>	32d22c227545b1f3ad366742683f5c47.m4a	1		日	<font size=12>日</font> (rì)|
早|zǎo|0	<size 1.7><center>早</center></size>	<center><font size=6>zǎo|tôt</font></center>	35f625dc8c2e2f2e6f7ac0a0823c8914.m4a				0		早	<font size=12>早</font> (zǎo)|Mots associés :|早上 [zǎoshang] (début de) matin…
早上|zǎoshang|0	<size 1.7><center>早上</center></size>	<font size=5>zǎoshang|(début de) matinée</font>|<font size=4><i>« &#66;&#111;&#110;&#106;&#111;&#117;&#114; (&#103;&#117;&#116;&#101;&#110; &#77;&#111;&#114;&#103;&#101;&#110;) »</i></font>	35e7bde6e5838066f06ad95f3e649123.m4a		|<font size=9><color yellow>&#26089;&#19978;</color>&#22909;！</font>	4351f4faf38d8e46be73c6f562127f96.m4a	1		早上	<font size=12>早上</font> (zǎoshang)||Mots associés :|早 [zǎo] tôt
月|yuè|0	<size 1.7><center>月</center></size>	<center><font size=6>yuè|lune</font></center>	b85ecf97ffae7a75e1e7a954ac6bb0cd.m4a				0		月	<font size=12>月</font> (yuè)|Mots associés :|月饼 [yuèbǐng] gâteau de lune|十月 [shíyuè] octobre
月饼|yuèbǐng|0	<size 1.7><center>月饼</center></size>	<font size=5>yuèbǐng|gâteau de lune</font>|<font size=4><i>« &#86;&#101;&#117;&#105;&#108;&#108;&#101;&#122; &#109;&#97;&#110;&#103;&#101;&#114; &#117;&#110; &#103;&#226;&#116;&#101;&#97;&#117; &#100;&#101; &#108;&#117;&#110;&#101;. »</i></font>	901d28ae53c72d94dbec10f4e3f8e0e2.m4a	pic-yuebing.jpg	|<font size=9>&#35831;&#20320;&#21507;<color yellow>&#26376;&#39292;</color>。</font>	17c361cfddeb0ef373f0130e2658a38b.m4a	1		月饼	<font size=12>月饼</font> (yuèbǐng)||Mots associés :|十月 [shíyuè] octobre|月　 [yuè] lune
